date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:36:33	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2025%20Mar%202024%2023:36:36%20GMT	http://www.marketingcentral.com.br/wp-json/wp/v2/tags/73	C:/Users/Bruno/Desktop/copy/www.marketingcentral.com.br/wp-json/wp/v2/tags/73	(from https://www.marketingcentral.com.br/tag/dicas/)
20:36:33	644/644	---MCZ	200	added ('OK')	application/json	date:Mon,%2025%20Mar%202024%2023:36:36%20GMT	https://www.marketingcentral.com.br/wp-json/wp/v2/categories/62	C:/Users/Bruno/Desktop/copy/www.marketingcentral.com.br/wp-json/wp/v2/categories/62.json	(from https://www.marketingcentral.com.br/category/app/)
20:36:33	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2025%20Mar%202024%2023:36:37%20GMT	http://www.marketingcentral.com.br/tag/dicas/feed/	C:/Users/Bruno/Desktop/copy/www.marketingcentral.com.br/tag/dicas/feed/index.html	(from https://www.marketingcentral.com.br/tag/dicas/)
20:36:35	616/616	---MCZ	200	added ('OK')	application/json	date:Mon,%2025%20Mar%202024%2023:36:38%20GMT	https://www.marketingcentral.com.br/wp-json/wp/v2/tags/73	C:/Users/Bruno/Desktop/copy/www.marketingcentral.com.br/wp-json/wp/v2/tags/73.json	(from https://www.marketingcentral.com.br/tag/dicas/)
20:36:36	59016/59016	---MCZ	200	added ('OK')	text/css	date:Wed,%2003%20Mar%202021%2021:16:22%20GMT	https://www.marketingcentral.com.br/wp-includes/css/dashicons.min.css?ver=6.0.7	C:/Users/Bruno/Desktop/copy/www.marketingcentral.com.br/wp-includes/css/dashicons.min8bc9.css	(from https://www.marketingcentral.com.br/wp-login.php?redirect_to=https%3A%2F%2Fwww.marketingcentral.com.br%2Fsem-resultados-nas-suas-acoes-digitais-inbound-marketing-a-atracao-do-cliente-para-pequenos-empreendedores%2F)
20:36:37	5854/5854	---MCZ	200	added ('OK')	text/css	date:Mon,%2015%20Nov%202021%2023:22:02%20GMT	https://www.marketingcentral.com.br/wp-includes/css/buttons.min.css?ver=6.0.7	C:/Users/Bruno/Desktop/copy/www.marketingcentral.com.br/wp-includes/css/buttons.min8bc9.css	(from https://www.marketingcentral.com.br/wp-login.php?redirect_to=https%3A%2F%2Fwww.marketingcentral.com.br%2Fsem-resultados-nas-suas-acoes-digitais-inbound-marketing-a-atracao-do-cliente-para-pequenos-empreendedores%2F)
20:36:38	25438/25438	---MCZ	200	added ('OK')	text/css	date:Tue,%2011%20Oct%202022%2017:08:39%20GMT	https://www.marketingcentral.com.br/wp-admin/css/forms.min.css?ver=6.0.7	C:/Users/Bruno/Desktop/copy/www.marketingcentral.com.br/wp-admin/css/forms.min8bc9.css	(from https://www.marketingcentral.com.br/wp-login.php?redirect_to=https%3A%2F%2Fwww.marketingcentral.com.br%2Fsem-resultados-nas-suas-acoes-digitais-inbound-marketing-a-atracao-do-cliente-para-pequenos-empreendedores%2F)
20:36:39	2477/2477	---MCZ	200	added ('OK')	text/css	date:Tue,%2011%20Dec%202018%2016:13:26%20GMT	https://www.marketingcentral.com.br/wp-admin/css/l10n.min.css?ver=6.0.7	C:/Users/Bruno/Desktop/copy/www.marketingcentral.com.br/wp-admin/css/l10n.min8bc9.css	(from https://www.marketingcentral.com.br/wp-login.php?redirect_to=https%3A%2F%2Fwww.marketingcentral.com.br%2Fsem-resultados-nas-suas-acoes-digitais-inbound-marketing-a-atracao-do-cliente-para-pequenos-empreendedores%2F)
20:36:40	6315/6315	---MCZ	200	added ('OK')	text/css	date:Tue,%2016%20Nov%202021%2001:56:58%20GMT	https://www.marketingcentral.com.br/wp-admin/css/login.min.css?ver=6.0.7	C:/Users/Bruno/Desktop/copy/www.marketingcentral.com.br/wp-admin/css/login.min8bc9.css	(from https://www.marketingcentral.com.br/wp-login.php?redirect_to=https%3A%2F%2Fwww.marketingcentral.com.br%2Fsem-resultados-nas-suas-acoes-digitais-inbound-marketing-a-atracao-do-cliente-para-pequenos-empreendedores%2F)
20:36:40	23598/23598	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Oct%202021%2018:40:49%20GMT	https://www.marketingcentral.com.br/wp-content/uploads/2021/10/cropped-icon-270x270.png	C:/Users/Bruno/Desktop/copy/www.marketingcentral.com.br/wp-content/uploads/2021/10/cropped-icon-270x270.png	(from https://www.marketingcentral.com.br/wp-login.php?redirect_to=https%3A%2F%2Fwww.marketingcentral.com.br%2Fsem-resultados-nas-suas-acoes-digitais-inbound-marketing-a-atracao-do-cliente-para-pequenos-empreendedores%2F)
